Product Name,Category,Price,Colors,Description,Rating,Reviews,Image File
Royal Gold Rajputana Bangle,Bangles,249,Gold,Intricate traditional design with gold plating,4.8,24,Royal-Gold-Rajputana-Bangle.jpeg
Silver Bride's Elegance,Bangles,349,Silver,Elegant silver-plated bridal collection,4.9,18,Silver-Brides-Elegance.jpeg
Emerald Garden Bangle,Bangles,289,Green;Gold,Stunning emerald-inspired design,4.7,22,Emerald-Garden-Bangle.jpeg
Sapphire Dreams Bangle,Bangles,3199,Blue;Gold,Royal blue gemstone inspired,4.8,20,Sapphire-Dreams-Bangle.jpeg
Rose Gold Romance,Bangles,2699,Rose Gold,Soft rose gold finish with delicate patterns,4.6,16,Rose-Gold-Romance.jpeg
Meenakari Marvel,Bangles,3999,Multicolor,Intricate enameled work with vibrant colors,5,35,Meenakari-Marvel.jpeg
Pearl Essence Bangle,Bangles,2299,White;Gold,Pure white pearls with gold accents,4.7,19,Pearl-Essence-Bangle.jpeg
Ancient Gold Heritage,Bangles,3699,Antique Gold,Antique finish with traditional carvings,4.8,23,Ancient-Gold-Heritage.jpeg
Kundan Radiance,Bangles,4299,Gold;Multicolor,Precious kundan stones with pearl work,5,42,Kundan-Radiance.jpeg
Diamond Sparkle Bangle,Bangles,2599,Clear;Gold,Crystal-like diamond finish,4.6,14,Diamond-Sparkle-Bangle.jpeg
Coral Beauty Bangle,Bangles,2799,Coral;Gold,Vibrant coral color with gold detailing,4.7,17,Coral-Beauty-Bangle.jpeg
Jade Elegance,Bangles,2999,Green;Silver,Elegant jade stone inspired design,4.8,21,Jade-Elegance.jpeg
Turquoise Bliss,Bangles,2599,Turquoise;Gold,Sky blue turquoise with golden accents,4.5,12,Turquoise-Bliss.jpeg
Amber Glow Bangle,Bangles,2899,Amber;Gold,Warm amber color with golden highlights,4.7,18,Amber-Glow-Bangle.jpeg
Ivory Pearl,Bangles,2499,White;Ivory,Creamy ivory with lustrous pearls,4.6,15,Ivory-Pearl.jpeg
Golden Dynasty,Bangles,3899,Gold,Bold statement piece inspired by royalty,4.9,31,Golden-Dynasty.jpeg
Moonlight Silver,Bangles,2799,Silver,Shimmering silver with moonlight effect,4.8,20,Moonlight-Silver.jpeg
Twilight Dreams,Bangles,3199,Purple;Gold,Mystical purple with golden embellishments,4.7,19,Twilight-Dreams.jpeg
Sunburst Gold,Bangles,2999,Gold;Yellow,Radiant golden yellow design,4.8,22,Sunburst-Gold.jpeg
Midnight Magic,Bangles,3499,Black;Gold,Bold black with gold accents,4.6,17,Midnight-Magic.jpeg
Celestial Beauty,Bangles,2699,Blue;Silver,Heavenly blue and silver combination,4.7,16,Celestial-Beauty.jpeg
Phoenix Fire,Bangles,3299,Red;Gold,Fiery red with golden details,4.8,24,Phoenix-Fire.jpeg
Lotus Bloom,Bangles,2899,Pink;Gold,Delicate pink inspired by lotus flowers,4.7,20,Lotus-Bloom.jpeg
Vintage Charm,Bangles,3099,Brown;Gold,Retro brown with vintage gold finish,4.6,13,Vintage-Charm.jpeg
Regal Crown,Bangles,4399,Gold;Multicolor,Premium crown-inspired design,5,38,Regal-Crown.jpeg
Crystal Rain,Bangles,2799,Clear;Silver,Clear crystals with silver setting,4.8,21,Crystal-Rain.jpeg
Sunset Glow,Bangles,3099,Orange;Gold,Warm orange sunset inspired,4.7,18,Sunset-Glow.jpeg
Forest Green,Bangles,2999,Green;Gold,Deep forest green with gold accents,4.6,15,Forest-Green.jpeg
Ocean Waves,Bangles,3199,Blue;Silver,Flowing blue like ocean waves,4.8,22,Ocean-Waves.jpeg
Blossom Pink,Bangles,2599,Pink;Silver,Soft pink with silver highlights,4.7,16,Blossom-Pink.jpeg
Eternal Gold,Bangles,3899,Gold,Timeless golden design,4.9,28,Eternal-Gold.jpeg
Kundan Royal Necklace,Necklaces,5499,Gold;Multicolor,Exquisite kundan with precious stones,5,52,Kundan-Royal-Necklace.jpeg
Meenakari Masterpiece,Necklaces,6299,Multicolor,Intricate enameled artwork,5,48,Meenakari-Masterpiece.jpeg
Pearl Cascade,Necklaces,4899,White;Gold,Cascading pearls with gold chain,4.9,41,Pearl-Cascade.jpeg
Emerald Statement,Necklaces,5999,Green;Gold,Bold emerald stone centerpiece,4.8,35,Emerald-Statement.jpeg
Diamond Elegance,Necklaces,6599,Clear;Gold,Sparkling diamond-like stones,5,58,Diamond-Elegance.jpeg
Sapphire Grandeur,Necklaces,5799,Blue;Gold,Deep sapphire blue stones,4.9,44,Sapphire-Grandeur.jpeg
Coral Dreams Necklace,Necklaces,5199,Coral;Gold,Vibrant coral with golden setting,4.7,32,Coral-Dreams-Necklace.jpeg
Ancient Treasure,Necklaces,6899,Gold;Multicolor,Museum-quality antique inspired,5,61,Ancient-Treasure.jpeg
Peacock Paradise,Necklaces,7299,Multicolor,Magnificent peacock design,5,67,Peacock-Paradise.jpeg
Royal Baju,Baju,3999,Gold,Arm ornament fit for royalty,4.8,26,Royal-Baju.jpeg
Maharani's Pride,Baju,4299,Gold;Multicolor,Ornate arm jewelry with stones,4.9,31,Maharanis-Pride.jpeg
Princess Elegance,Baju,3699,Gold;Silver,Delicate arm ornament design,4.7,19,Princess-Elegance.jpeg
